brand,model,top_speed_kmh,battery_capacity_kWh,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,drivetrain,segment,car_body_type
Abarth,500e Convertible,155,37.8,156,225,7,67,CCS,FWD,B - Compact,Hatchback
Abarth,500e Hatchback,155,37.8,149,225,7,67,CCS,FWD,B - Compact,Hatchback
Abarth,600e Scorpionissima,200,50.8,158,280,5.9,79,CCS,FWD,JB - Compact,SUV
Abarth,600e Turismo,200,50.8,158,280,6.2,79,CCS,FWD,JB - Compact,SUV
Aiways,U5,150,60,156,315,7.5,78,CCS,FWD,JC - Medium,SUV
Aiways,U6,160,60,150,350,7,78,CCS,FWD,JC - Medium,SUV
Alfa,Romeo Junior Elettrica 54 kWh,150,50.8,128,320,9,85,CCS,FWD,JB - Compact,SUV
Alfa,Romeo Junior Elettrica 54 kWh Veloce,200,50.8,164,310,6,85,CCS,FWD,JB - Compact,SUV
Alpine,A290 Electric 180 hp,160,52,138,310,7.4,70,CCS,FWD,B - Compact,Hatchback
Alpine,A290 Electric 220 hp,170,52,144,305,6.4,70,CCS,FWD,B - Compact,Hatchback
Audi,A6 Avant e-tron,210,75.8,146,465,6,150,CCS,RWD,JE - Executive,Station/Estate
Audi,A6 Avant e-tron performance,210,94.9,151,575,5.4,200,CCS,RWD,JE - Executive,Station/Estate
Audi,A6 Avant e-tron quattro,210,94.9,157,560,4.5,200,CCS,AWD,JE - Executive,Station/Estate
Audi,A6 Sportback e-tron,210,75.8,136,495,6,150,CCS,RWD,JE - Executive,Liftback Sedan
Audi,A6 Sportback e-tron performance,210,94.9,141,610,5.4,200,CCS,RWD,JE - Executive,Liftback Sedan
Audi,A6 Sportback e-tron quattro,210,94.9,147,590,4.7,200,CCS,AWD,JE - Executive,Liftback Sedan
Audi,Q4 Sportback e-tron 40,160,59,156,340,8.1,110,CCS,RWD,JC - Medium,SUV
Audi,Q4 Sportback e-tron 45,180,77,162,435,6.7,120,CCS,RWD,JC - Medium,SUV
Audi,Q4 Sportback e-tron 45 quattro,180,77,165,410,6.6,120,CCS,AWD,JC - Medium,SUV
Audi,Q4 Sportback e-tron 55 quattro,180,77,165,415,5.4,120,CCS,AWD,JC - Medium,SUV
Audi,Q4 e-tron 40,160,59,159,325,8.1,110,CCS,RWD,JC - Medium,SUV
Audi,Q4 e-tron 45,180,77,169,420,6.7,120,CCS,RWD,JC - Medium,SUV
Audi,Q4 e-tron 45 quattro,180,77,171,395,6.6,120,CCS,AWD,JC - Medium,SUV
Audi,Q4 e-tron 55 quattro,180,77,171,395,5.4,120,CCS,AWD,JC - Medium,SUV
Audi,Q6 e-tron,210,75.8,166,395,7,150,CCS,RWD,JD - Large,SUV
Audi,Q6 e-tron Sportback,210,75.8,139,410,7,150,CCS,RWD,JD - Large,SUV
Audi,Q6 e-tron Sportback performance,210,94.9,145,510,6.6,190,CCS,RWD,JD - Large,SUV
Audi,Q6 e-tron Sportback quattro,210,94.9,149,500,5.9,200,CCS,AWD,JD - Large,SUV
Audi,Q6 e-tron performance,210,94.9,171,490,6.6,190,CCS,RWD,JD - Large,SUV
